Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
C1,CAPC0402(1005)70_L,1,GRM155R60J106ME15D,C412251
C2,CAPC0201(0603)33_L,1,GRM033R61A105ME15D,C5182464
J1,F32Q-1A7H1-11022,1,F32Q-1A7H1-11022,C11091
J2,F52Q-1A7H1-11015-Footprint-1,1,F52Q-1A7H1-11015,C262742
Q1,RE1C002UNTCL,1,RE1C002UNTCL,C509959
"R1, R2",RESC0402(1005)_L,2,RC0402FR-1310KL,C71617
"R3, R4",RESC0402(1005)_L,2,RC0402FR-1310KL,
U1,FP-517CU-MFG,1,NCP114AMX180TBG,C457784
