Designator,Mid X,Mid Y,Rotation,Layer
_4,70.83606,64.09998,0.0,top
_3,70.83606,85.09998,0.0,top
_2,83.33606,64.09998,0.0,top
,83.33606,85.09998,0.0,top
C1,77.08605,67.02198,90.0,top
C2,80.22025,66.92498,90.0,top
J1,72.82505,74.59998,270.0,top
J2,86.42505,74.59999,90.0,top
Q1,78.56125,71.38223,0.0,top
R1,77.13145,71.41283,270.0,top
R2,80.05985,71.61083,270.0,top
R3,76.13145,71.41283,90.0,top
R4,81.02505,71.61083,90.0,top
U1,79.04345,67.05138,270.0,top
